stopTag,stopTitle,stopLat,stopLon
22293,Alhambra & 5th/Verona (SB),38.55817,-121.70626
22067,Alhambra Dr & 5th St (EB),38.5578099,-121.7043
22235,Alhambra Dr & Arroyo Ave (EB),38.55786,-121.6994599
22066,Alhambra Dr & Mace Blvd (EB),38.55855,-121.6969699
22286,Hutchison & Sage (NB),38.539,-121.7713399
22288,West Village Sq & Town Square (NB),38.5413599,-121.77133
22360,Health Sciences Dist Lot 56 &  (SB),38.5351899,-121.76448
22041,Cowell Blvd & Valdora St (EB),38.5402299,-121.72398
22174,Lillard Dr & Evans Ct (EB),38.54166,-121.7173499
22254,Lillard & Drummond (EB),38.5431999,-121.71486
22255,Drummond & Albany (NB),38.54635,-121.71323
22045,Cowell Blvd & Halsey Cir (WB),38.54324,-121.7225299
22168,Hutchison & Shields Library (WB),38.5391799,-121.7499899
