route,stop,date,boarding,deboarding
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-18,2,398
E,F St & 8th St  (SB),2012-10-18,21,2
E,B St & 4th St (NB),2012-10-18,0,1
E,J St & Menlo Dr (SB),2012-10-18,99,88
E,F St & 4th St  (SB),2012-10-18,1,5
E,F St & 4th St  (NB),2012-10-18,0,4
E,8th St & G St (WB),2012-10-18,20,2
E,3rd St & C St (WB),2012-10-18,2,1
E,F St & 5th Street  (NB),2012-10-18,0,2
E,F St & 8th St (NB),2012-10-19,2,6
E,F St & 4th St  (SB),2012-10-19,1,4
E,J St & Drexel Dr (SB),2012-10-19,21,11
E,3rd St & E St (WB),2012-10-19,3,1
E,3rd St & E St (EB),2012-10-19,1,8
E,Memorial Union (E Line) & Howard Way (NB),2012-10-19,82,0
E,F St & 5th Street  (NB),2012-10-19,0,1
E,F St & 4th St  (NB),2012-10-19,0,2
E,J St & Menlo Dr (SB),2012-10-19,40,18
E,F St & Covell Blvd (NB),2012-10-19,35,15
E,F St & 14th St (NB),2012-10-19,29,13
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-19,0,228
E,F St & 12th St (NB),2012-10-19,6,5
E,F St & 8th St  (SB),2012-10-19,4,0
E,8th St & G St (WB),2012-10-19,23,0
E,3rd St & C St (EB),2012-10-19,2,0
E,J St & Alice St (SB),2012-10-19,11,3
E,J St & 8th St (SB),2012-10-19,20,1
E,8th St & G St (WB),2012-10-22,27,0
E,J St & Menlo Dr (SB),2012-10-22,93,123
E,F St & 4th St  (SB),2012-10-22,1,9
E,J St & Alice St (SB),2012-10-22,32,27
E,3rd St & C St (EB),2012-10-22,1,1
E,F St & 8th St  (SB),2012-10-22,19,0
E,B St & 4th St (NB),2012-10-22,1,1
E,3rd St & C St (WB),2012-10-22,0,6
E,Memorial Union (E Line) & Howard Way (NB),2012-10-22,415,0
E,F St & 14th St (NB),2012-10-22,64,79
E,J St & 8th St (SB),2012-10-22,43,14
E,F St & 8th St (NB),2012-10-22,8,70
E,F St & 4th St  (NB),2012-10-22,7,4
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-22,40,408
E,F St & 12th St (NB),2012-10-22,11,26
E,F St & 5th Street  (NB),2012-10-22,0,5
E,3rd St & E St (EB),2012-10-22,21,9
E,F St & Covell Blvd (NB),2012-10-22,92,86
E,3rd St & E St (WB),2012-10-22,4,7
E,J St & Drexel Dr (SB),2012-10-22,41,49
E,F St & 8th St  (SB),2012-10-23,13,0
E,J St & Alice St (SB),2012-10-23,25,14
E,J St & Menlo Dr (SB),2012-10-23,52,55
E,F St & 4th St  (NB),2012-10-23,0,6
E,3rd St & C St (EB),2012-10-23,4,0
E,F St & 14th St (NB),2012-10-23,39,27
E,3rd St & E St (EB),2012-10-23,11,10
E,F St & 8th St (NB),2012-10-23,4,26
E,B St & 4th St (NB),2012-10-23,1,0
E,8th St & G St (WB),2012-10-23,19,1
E,F St & 5th Street  (NB),2012-10-23,2,0
E,J St & 8th St (SB),2012-10-23,21,9
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-23,0,290
E,Memorial Union (E Line) & Howard Way (NB),2012-10-23,195,0
E,3rd St & C St (WB),2012-10-23,1,4
E,3rd St & E St (WB),2012-10-23,6,5
E,F St & 4th St  (SB),2012-10-23,1,3
E,F St & 12th St (NB),2012-10-23,10,12
E,F St & Covell Blvd (NB),2012-10-23,59,41
E,J St & Drexel Dr (SB),2012-10-23,44,20
E,F St & 4th St  (SB),2012-10-24,1,10
E,F St & 4th St  (NB),2012-10-24,4,0
E,B St & 4th St  (SB),2012-10-24,1,1
E,J St & 8th St (SB),2012-10-24,42,7
E,J St & Drexel Dr (SB),2012-10-24,39,39
E,F St & 5th Street  (NB),2012-10-24,2,2
E,3rd St & E St (EB),2012-10-24,14,12
E,F St & Covell Blvd (NB),2012-10-24,79,78
E,Memorial Union (E Line) & Howard Way (NB),2012-10-24,407,0
E,F St & 8th St  (SB),2012-10-24,13,0
E,3rd St & C St (WB),2012-10-24,1,7
E,3rd St & E St (WB),2012-10-24,6,6
E,J St & Alice St (SB),2012-10-24,36,33
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-24,0,459
E,3rd St & C St (EB),2012-10-24,5,1
E,F St & 14th St (NB),2012-10-24,61,75
E,F St & 12th St (NB),2012-10-24,16,22
E,8th St & G St (WB),2012-10-24,30,0
E,J St & Menlo Dr (SB),2012-10-24,98,117
E,F St & 8th St (NB),2012-10-24,7,56
E,3rd St & C St (WB),2012-10-25,0,4
E,3rd St & C St (EB),2012-10-25,1,3
E,J St & Alice St (SB),2012-10-25,21,23
E,F St & 8th St  (SB),2012-10-25,10,0
E,J St & Drexel Dr (SB),2012-10-25,32,28
E,8th St & G St (WB),2012-10-25,18,0
E,F St & 5th Street  (NB),2012-10-25,2,3
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-25,0,295
E,F St & Covell Blvd (NB),2012-10-25,56,50
E,B St & 4th St  (SB),2012-10-25,0,2
E,3rd St & E St (EB),2012-10-25,13,17
E,J St & Menlo Dr (SB),2012-10-25,72,70
E,F St & 8th St (NB),2012-10-25,7,44
E,F St & 4th St  (NB),2012-10-25,3,6
E,J St & 8th St (SB),2012-10-25,28,10
E,B St & 4th St (NB),2012-10-25,1,0
E,F St & 12th St (NB),2012-10-25,6,13
E,F St & 4th St  (SB),2012-10-25,2,2
E,3rd St & E St (WB),2012-10-25,6,6
E,Memorial Union (E Line) & Howard Way (NB),2012-10-25,247,0
E,F St & 14th St (NB),2012-10-25,43,33
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-26,0,211
